mode,load,0_efficientnet_b6-4,1_efficientnet_b6-4
mig,0.1,39.76171523087478,32.108657814590025
mig,0.2,74.39721611980997,61.85646211614174
mig,0.3,107.64742119029019,90.36494409153208
mig,0.4,143.7250765484648,124.90001664802911
mig,0.5,178.1502449368269,158.5581627395846
mig,0.6,212.18232375223783,181.9537276834637
mig,0.7,226.69452253146605,218.43554062569677
mig,0.8,229.4549658727812,226.10866697633952
mig,0.9,224.78133034426466,227.6630897644332
mig,1.0,227.82864746367318,227.34691438378476
