mode,load,0_mobilenet_v3_large-2,1_mobilenet_v3_large-2,2_mobilenet_v3_large-2,3_mobilenet_v3_large-2
mig,0.1,71.04513432310597,68.22719581693708,69.99751816178119,64.34954524599175
mig,0.2,140.43713304047122,138.51813134009387,137.59914021013506,136.53386987959055
mig,0.3,212.62170932656517,212.0741198303001,207.46037425614168,206.39145438582477
mig,0.4,284.1267574470413,285.45385725114465,275.4574290979018,271.5384759713489
mig,0.5,354.0176838481877,350.77568087194607,346.7167162874394,343.0902494829994
mig,0.6,413.29238727286196,431.56671205803457,415.6455799585739,411.4090963115391
mig,0.7,503.9238792029654,495.4562553386922,492.5307549119661,476.25275652351195
mig,0.8,552.9392521672416,569.3533098814562,553.8539753888492,556.2785267903508
mig,0.9,634.168846465473,645.9135853541912,613.4530512187883,593.531074820002
mig,1.0,693.8991375806113,697.7547968907617,686.1812592434298,678.6971105672334
