mode,load,0_mobilenet_v3_large-2,1_mobilenet_v3_large-2,2_mobilenet_v3_large-2,3_mobilenet_v3_large-2
mig,0.1,6.864070892333984,6.827116012573242,6.844162940979004,6.8215131759643555
mig,0.2,6.6986083984375,6.786584854125977,6.744623184204102,6.74593448638916
mig,0.3,5.6972503662109375,5.857229232788086,5.889892578125,5.95545768737793
mig,0.4,4.78816032409668,4.783391952514648,4.840493202209473,4.928112030029297
mig,0.5,3.7338733673095703,4.155158996582031,4.091858863830566,4.124879837036133
mig,0.6,4.117727279663086,4.042387008666992,4.120826721191406,4.150390625
mig,0.7,4.797220230102539,4.918694496154785,4.965305328369141,4.838347434997559
mig,0.8,5.955696105957031,6.3304901123046875,6.107091903686523,5.915999412536621
mig,0.9,11.781692504882812,11.318206787109375,10.979175567626953,8.263230323791504
mig,1.0,157.81307220458984,138.8794183731079,44.57378387451172,20.025014877319336
