mode,load,0_mobilenet_v3_large-2,1_mobilenet_v3_large-2,2_mobilenet_v3_large-2,3_mobilenet_v3_large-2
mig,0.1,7.729809284210205,7.722914218902588,7.691376209259033,7.59138584136963
mig,0.2,7.81702995300293,7.7057647705078125,7.724618911743167,7.78148889541626
mig,0.3,7.40126371383667,7.4352192878723145,7.417445182800292,7.512693405151367
mig,0.4,5.971050262451172,6.012339591979987,6.215226650238037,6.1282062530517605
mig,0.5,4.770154953002931,4.9859809875488335,5.244615077972411,5.157165527343748
mig,0.6,4.547457695007325,4.450273513793946,4.514875411987304,4.599237442016602
mig,0.7,3.3442687988281246,3.6976814270019522,3.7073850631713836,3.797359466552734
mig,0.8,3.029246330261231,3.019554615020753,3.0922508239746085,3.0521273612976074
mig,0.9,3.0078935623168936,2.9728770256042485,3.08293342590332,3.030722141265869
mig,1.0,3.0018258094787598,2.9865241050720215,3.0395984649658203,2.9523706436157227
