mode,load,0_mobilenet_v3_small-16,1_mobilenet_v3_large-2,2_resnet152-4
mps-uncap,1.0,4.12750244140625,4.834890365600586,13.538122177124023
mig,1.0,4.217863082885742,4.963397979736328,15.178442001342773
