mode,load,0_mobilenet_v3_small-16,1_mobilenet_v3_large-2,2_resnet152-4
mps-uncap,1.0,0.00476837158203125,0.0050067901611328125,0.000476837158203125
mig,1.0,0.0054836273193359375,0.0059604644775390625,0.0050067901611328125
