mode,load,0_mobilenet_v3_small-16,1_mobilenet_v3_large-2,2_resnet152-4
mps-uncap,1.0,4.12750244140625,4.834651947021484,13.537883758544922
mig,1.0,4.217624664306641,4.963397979736328,15.178442001342773
