mode,load,0_mobilenet_v3_small-16,1_mobilenet_v3_large-2,2_resnet152-4
mps-uncap,1.0,18.761396408081055,12.151002883911133,26.134252548217773
mig,1.0,16.58940315246582,13.23390007019043,29.48141098022461
