mode,load,0_mobilenet_v3_small-16,1_mobilenet_v3_large-2,2_resnet152-4
mps-uncap,1.0,4.395380020141602,5.118238925933838,14.30506706237793
mig,1.0,4.502773284912109,5.327038764953613,16.492104530334473
