mode,load,0_mobilenet_v3_small-16,1_mobilenet_v3_large-2,2_resnet152-4
mps-uncap,1.0,4.0798187255859375,4.779577255249023,13.330936431884766
mig,1.0,4.164695739746094,4.899024963378906,15.071630477905273
