mode,load,0_mobilenet_v3_small-16,1_mobilenet_v3_large-2,2_resnet152-4
mps-uncap,1.0,3855.366309284131,411.4863292738536,294.1379511295362
mig,1.0,3772.0058641221362,400.5985055391815,261.82461000064455
