mode,load,0_mobilenet_v3_small-16,1_mobilenet_v3_large-2,2_resnet152-4
mps-uncap,1.0,4.395008087158203,5.117893218994141,14.304935932159424
mig,1.0,4.50270414352417,5.326800346374512,16.491727828979492
