mode,load,0_efficientnet_b7-4,1_resnet18-2,2_vgg13-2
mps-uncap,0.8,13.100862503051758,1.0943412780761719,1.6314983367919922
mps-uncap,0.9,13.36216926574707,1.1048316955566406,1.638174057006836
mps-uncap,1.0,15.134572982788086,1.1043548583984375,1.6505718231201172
mps-uncap,0.5,12.75324821472168,1.096487045288086,1.6362667083740234
mps-uncap,0.6,13.08441162109375,1.1250972747802734,1.64794921875
mps-uncap,0.7,12.789249420166016,1.129150390625,1.6341209411621094
mps-uncap,0.1,12.833833694458008,1.1584758758544922,1.6469955444335938
mps-uncap,0.2,13.479948043823242,1.1224746704101562,1.6429424285888672
mps-uncap,0.3,12.977838516235352,1.1260509490966797,1.641988754272461
mps-uncap,0.4,12.865304946899414,1.1332035064697266,1.6360282897949219
