mode,load,0_alexnet-32,1_inception_v3-2,2_vgg11-32
mps-uncap,0.8,2.6307106018066406,8.663654327392578,11.002302169799805
mps-uncap,0.9,2.6297569274902344,8.958101272583008,11.286735534667969
mps-uncap,1.0,2.6276111602783203,8.703470230102539,11.509180068969727
mps-uncap,0.5,2.6226043701171875,8.55875015258789,10.900020599365234
mps-uncap,0.6,2.614259719848633,8.568048477172852,10.944128036499023
mps-uncap,0.7,2.610445022583008,8.413553237915039,10.94675064086914
mps-uncap,0.1,2.6445388793945312,8.75544548034668,10.852336883544922
mps-uncap,0.2,2.627134323120117,8.939743041992188,10.860204696655273
mps-uncap,0.3,2.621889114379883,8.592367172241211,10.843515396118164
mps-uncap,0.4,2.464771270751953,8.519887924194336,10.815143585205078
