mode,load,0_alexnet-32,1_inception_v3-2,2_vgg11-32
mps-uncap,0.8,116.74323081970215,217.24909305572504,207.13257789611816
mps-uncap,0.9,1135.832805633545,622.4357986450195,1508.926727771759
mps-uncap,1.0,7446.653604507446,462.2446727752683,5264.45455789566
mps-uncap,0.5,27.517428398132314,45.68417310714722,51.64117813110342
mps-uncap,0.6,39.00818824768087,58.755283355712905,87.21414566040075
mps-uncap,0.7,50.243065357208245,85.67030429840062,129.35673236846904
mps-uncap,0.1,15.800487995147723,36.366481781005874,25.694034099578857
mps-uncap,0.2,16.406917572021484,35.13451576232911,32.18588829040532
mps-uncap,0.3,15.96667289733885,39.89098072052002,36.758975982666
mps-uncap,0.4,20.805444717407234,38.7457704544067,40.77118635177608
