mode,load,0_alexnet-32,1_inception_v3-2,2_vgg11-32
mps-uncap,0.8,4038.764916289699,36.24293790607439,2046.5507171068439
mps-uncap,0.9,4411.413565200939,40.185968839699186,2259.2646050864823
mps-uncap,1.0,4293.604801806382,46.337211965682656,2300.6205131536217
mps-uncap,0.5,2457.2958058310132,22.67876912996971,1256.0257460972282
mps-uncap,0.6,2883.4552649718244,27.53527229156998,1531.6049782027164
mps-uncap,0.7,3381.8080783508176,32.14153840927743,1755.7010532763547
mps-uncap,0.1,500.59978752805864,4.899293677292485,227.68672436537236
mps-uncap,0.2,999.2041056271306,9.056043400706589,516.5976355478911
mps-uncap,0.3,1475.8403443816296,13.962457754878667,723.6803912330779
mps-uncap,0.4,1886.5224012409258,18.0256082778807,958.6402952772828
