mode,load,0_alexnet-32,1_inception_v3-2,2_vgg11-32
mps-uncap,0.8,108.81905555725096,173.61050367355344,193.25637817382812
mps-uncap,0.9,1128.5144710540774,579.6728801727295,1494.8849534988406
mps-uncap,1.0,7440.859489440919,429.30311441421503,5251.046860218047
mps-uncap,0.5,20.711500644683777,27.33236551284789,38.32135200500478
mps-uncap,0.6,31.910967826843308,32.962713241577234,72.81215667724622
mps-uncap,0.7,42.60644674301147,64.77008819580077,116.36292219161957
mps-uncap,0.1,6.081771850585945,17.62801170349121,12.261343002319329
mps-uncap,0.2,10.543389320373537,17.460565567016605,19.565582275390643
mps-uncap,0.3,10.846631526946988,20.769171714782715,25.826296806335446
mps-uncap,0.4,15.656652450561529,20.62869310379025,27.79609918594359
