mode,load,0_alexnet-32,1_inception_v3-2,2_vgg11-32
mps-uncap,0.8,70.61963081359863,108.7730884552002,134.70911979675293
mps-uncap,0.9,923.6325263977051,327.81133651733404,1320.9171772003174
mps-uncap,1.0,6717.717695236207,277.62653827667236,4699.683594703675
mps-uncap,0.5,15.493941307067878,29.89172935485841,32.280921936035156
mps-uncap,0.6,19.007778167724613,33.96606445312501,45.25175094604492
mps-uncap,0.7,27.133297920227058,46.7679500579834,67.25676059722902
mps-uncap,0.1,8.277416229248047,23.857712745666504,18.437528610229492
mps-uncap,0.2,10.0675106048584,24.950551986694336,20.37038803100586
mps-uncap,0.3,11.308503150939949,26.03809833526612,22.74448871612549
mps-uncap,0.4,12.885332107543945,26.391363143920906,25.721096992492676
