mode,load,0_vgg13-2,1_densenet169-2,2_squeezenet1_1-8
mps-uncap,1.0,0.015497207641601562,0.0007152557373046875,0.0064373016357421875
mig,1.0,0.0007152557373046875,0.0057220458984375,0.000476837158203125
