mode,load,0_vgg13-2,1_densenet169-2,2_squeezenet1_1-8
mps-uncap,1.0,2.195119857788086,17.169475555419922,2.2592544555664062
mig,1.0,3.3669471740722656,16.62278175354004,3.106832504272461
