mode,load,0_vgg13-2,1_densenet169-2,2_squeezenet1_1-8
mps-uncap,1.0,3.0216360092163077,18.630175590515133,3.746168613433838
mig,1.0,3.764629364013672,17.80976295471192,3.8542747497558594
