mode,load,0_vgg13-2,1_densenet169-2,2_squeezenet1_1-8
mps-uncap,1.0,764.1460719046848,112.79732207753196,2582.2064671135636
mig,1.0,582.4592163125508,118.3627195060819,2467.7772169738105
