mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_large-4,2_mobilenet_v3_large-4,3_mobilenet_v3_large-4
mig,0.1,7.120943069458008,7.132673263549805,7.1910858154296875,7.30586051940918
mig,0.3,5.6177616119384775,6.21623992919922,6.211137771606445,6.799221038818359
mig,0.4,4.59280014038086,4.713773727416992,4.604816436767578,6.10942840576172
mig,0.5,4.30440902709961,4.462957382202148,3.890371322631836,4.713964462280273
mig,0.6,2.9421091079711914,2.983641624450684,2.9778480529785156,4.019474983215332
mig,0.7,2.936124801635742,2.9451847076416016,2.950906753540039,3.974318504333496
mig,0.8,2.977132797241211,2.8907060623168945,2.8618335723876953,3.9598941802978516
mig,0.9,2.8998851776123047,2.9146671295166016,2.8783559799194336,3.9606094360351562
mig,1.0,2.882719039916992,2.8848648071289062,2.888917922973633,3.978252410888672
mig,0.2,7.505989074707031,7.365775108337402,7.502698898315431,7.737636566162109
