mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_large-16,2_mobilenet_v3_large-16,3_mobilenet_v3_large-16
mig,0.1,7.374167442321777,7.468700408935547,7.494688034057617,14.123678207397461
mig,0.2,7.363080978393555,7.458686828613281,7.475376129150391,14.10818099975586
mig,0.3,7.356166839599609,7.445812225341797,7.462024688720703,14.089584350585938
mig,0.4,7.330656051635742,7.420063018798828,7.439613342285156,14.06717300415039
mig,0.6,7.312536239624023,7.410526275634766,7.415533065795898,14.052391052246094
mig,0.7,7.310152053833008,7.404088973999023,7.417917251586914,14.056205749511719
mig,0.8,7.311344146728516,7.401466369628906,7.415771484375,14.051675796508789
mig,0.9,7.309436798095703,7.396697998046875,7.410287857055664,14.052629470825195
mig,1.0,7.313966751098633,7.399082183837891,7.412433624267578,14.05191421508789
mig,0.5,7.31968879699707,7.413387298583984,7.424354553222656,14.060020446777344
