mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_large-16,2_mobilenet_v3_large-16,3_mobilenet_v3_large-16
mig,0.1,212.69529810400306,219.00145979177512,207.34457313436207,112.96726315352451
mig,0.2,432.2412720699486,421.76817563972594,428.992904908012,214.74615567600154
mig,0.3,654.8985263033602,666.5024683807984,632.8124475874238,327.6486229404952
mig,0.4,856.2491141299937,863.4831544925831,852.1722072965464,436.80412963224916
mig,0.6,1297.4188280507747,1268.8388155564446,1252.3923178604464,677.6905987725665
mig,0.7,1525.1068445700046,1459.1830385592566,1498.5231311688847,766.8051550907738
mig,0.8,1739.4778972348863,1656.2655242177145,1686.525389583946,892.445834424155
mig,0.9,1939.7202549707376,1894.975630737924,1932.8941699460242,1006.405772677451
mig,1.0,2164.59401094957,2127.9193142565555,2113.0102352737654,1112.632578150224
mig,0.5,1084.2046345562371,1035.834447424771,1046.4515689872992,530.8333891917001
