mode,load,0_efficientnet_b7-4,1_resnet34-2,2_vgg11-8
mps-uncap,0.8,74.88115460631862,205.41097998335997,1540.3653480365606
mps-uncap,0.9,84.83412507526835,227.1647646437589,1740.5399737303344
mps-uncap,1.0,95.60520791559726,239.44257537180425,1735.735981858334
mps-uncap,0.5,49.581985197990946,127.46341753507254,972.0792888679233
mps-uncap,0.6,56.061717899301556,147.2174665925861,1159.0577591057354
mps-uncap,0.7,67.42266600735472,180.55418126615433,1366.3030997662265
mps-uncap,0.1,7.465417950463977,24.40086375356751,178.56546662511388
mps-uncap,0.2,18.314881006593563,51.273733853522515,380.9141491371176
mps-uncap,0.3,32.051005834362606,72.38201688480578,603.5996821727231
mps-uncap,0.4,35.7207406603715,101.38212771724926,757.10731514029
