mode,load,0_efficientnet_b7-4,1_resnet34-2,2_vgg11-8
mps-uncap,0.8,20.69997787475586,3.3729076385498047,3.3965110778808594
mps-uncap,0.9,20.87235450744629,3.392457962036133,3.5772323608398438
mps-uncap,1.0,23.17953109741211,3.3750534057617188,3.6454200744628906
mps-uncap,0.5,20.6146240234375,3.3922195434570312,3.3752918243408203
mps-uncap,0.6,20.520925521850586,3.3202171325683594,3.384828567504883
mps-uncap,0.7,20.70331573486328,3.3872127532958984,3.3860206604003906
mps-uncap,0.1,20.704984664916992,3.6962032318115234,3.469705581665039
mps-uncap,0.2,21.06761932373047,3.726959228515625,3.4093856811523438
mps-uncap,0.3,20.992040634155273,3.3843517303466797,3.4224987030029297
mps-uncap,0.4,20.949125289916992,3.3469200134277344,3.400564193725586
