mode,load,0_densenet169-8,1_densenet169-8
mig,0.1,10.371208190917969,12.042760848999023
mig,0.2,10.34855842590332,12.015342712402344
mig,0.3,10.339498519897461,12.017250061035156
mig,0.4,10.334968566894531,12.012243270874023
mig,0.5,10.344743728637695,11.999845504760742
mig,0.6,10.339736938476562,11.998891830444336
mig,0.7,10.349273681640625,12.000560760498047
mig,0.8,10.331392288208008,12.019157409667969
mig,0.9,10.369539260864258,12.024641036987305
mig,1.0,10.376930236816406,12.017965316772461
