mode,load,0_densenet169-8,1_densenet169-8
mig,0.1,10.349273681640625,12.001276016235352
mig,0.2,10.310888290405273,11.999845504760742
mig,0.3,10.317087173461914,11.995315551757812
mig,0.4,10.309696197509766,11.992931365966797
mig,0.5,10.317087173461914,11.97957992553711
mig,0.6,10.314702987670898,11.978864669799805
mig,0.7,10.327577590942383,11.979818344116211
mig,0.8,10.313034057617188,11.989831924438477
mig,0.9,10.33639907836914,11.976480484008789
mig,1.0,10.354995727539062,11.987447738647461
