mode,load,0_efficientnet_b6-4,1_inception_v3-4,2_vgg19-16
mps-uncap,0.8,45.806884765625,22.546768188476562,22.155284881591797
mps-uncap,0.9,79.44130897521973,43.21014881134033,44.01564598083496
mps-uncap,1.0,270.22719383239746,995.5927133560181,490.99254608154297
mps-uncap,0.5,20.34616470336914,13.840794563293457,11.765718460083008
mps-uncap,0.6,23.05293083190918,15.199899673461914,12.789011001586914
mps-uncap,0.7,29.752731323242188,18.26310157775879,16.81661605834961
mps-uncap,0.1,23.911237716674805,11.914849281311035,10.82766056060791
mps-uncap,0.2,24.41263198852539,12.000322341918945,10.828256607055664
mps-uncap,0.3,23.378849029541016,12.122869491577148,10.885953903198242
mps-uncap,0.4,20.728588104248047,12.171745300292969,11.206626892089844
