mode,load,0_efficientnet_b6-4,1_inception_v3-4,2_vgg19-16
mps-uncap,0.8,60.02596753499874,116.67371482207406,1021.9783246602695
mps-uncap,0.9,64.66277843343248,130.81881631285924,1123.1447229191106
mps-uncap,1.0,74.82529749501384,140.73163628424754,1240.4984315722654
mps-uncap,0.5,37.29013964074677,76.91971019402743,621.764409390239
mps-uncap,0.6,45.80367904854293,88.08061030310985,747.485670630748
mps-uncap,0.7,47.34662410992903,102.22625315518904,863.421187174794
mps-uncap,0.1,6.472789267245814,15.908216520713646,116.80888916265778
mps-uncap,0.2,14.20464357579249,29.90938605856129,260.3577983773676
mps-uncap,0.3,19.70442667721603,44.667216438262756,373.48638789683093
mps-uncap,0.4,26.928745578712963,58.76108731741427,483.2453179076578
