mode,load,0_efficientnet_b6-4,1_inception_v3-4,2_vgg19-16
mps-uncap,0.8,10.299921035766602,4.811525344848633,10.692119598388672
mps-uncap,0.9,10.100364685058594,4.797935485839844,10.761022567749023
mps-uncap,1.0,10.114431381225586,4.867792129516602,10.786294937133789
mps-uncap,0.5,10.050058364868164,4.772663116455078,10.701656341552734
mps-uncap,0.6,10.197162628173828,4.863500595092773,10.661840438842773
mps-uncap,0.7,10.201692581176758,4.783153533935547,10.692119598388672
mps-uncap,0.1,10.575532913208008,4.934072494506836,10.638713836669922
mps-uncap,0.2,10.41412353515625,4.797697067260742,10.632991790771484
mps-uncap,0.3,10.017633438110352,4.8198699951171875,10.632753372192383
mps-uncap,0.4,10.184049606323242,4.8198699951171875,10.629653930664062
