mode,load,0_densenet161-32,1_efficientnet_b6-16,2_mobilenet_v2-16
mps-uncap,0.6,157.94134140014648,156.8455696105957,69.64969635009766
mig,0.6,363.4028434753418,439.08047676086426,98.53553771972656
mps-uncap,0.7,267.864465713501,183.19106101989746,76.10249519348145
mig,0.7,435.4584217071533,607.5103282928467,110.20565032958984
mps-uncap,0.8,431.98490142822266,190.43898582458496,202.26407051086426
mig,0.8,531.7389965057373,906.3453674316406,172.79815673828125
mps-uncap,0.9,604.5432090759277,389.59693908691406,389.1162872314453
mig,0.9,1336.0497951507568,1329.953908920288,185.37449836730957
mps-uncap,1.0,1251.9152164459229,427.3836612701416,3614.2654418945312
mig,1.0,3045.6387996673584,3553.1046390533447,782.0594310760498
mps-uncap,1.1,4258.407831192017,1154.5286178588867,19412.046909332275
mig,1.1,10034.236192703247,12196.716785430908,11020.830392837524
mps-uncap,1.2,13289.060592651367,2655.9343338012695,27903.72109413147
mig,1.2,18153.773307800293,15012.955665588379,15349.444389343262
mps-uncap,1.3,18952.03971862793,4886.141538619995,33997.03907966614
mig,1.3,19794.604778289795,21222.615242004395,20243.823528289795
