mode,load,0_densenet161-32,1_efficientnet_b6-16,2_mobilenet_v2-16
mps-uncap,0.6,296.68216313277395,127.44565138614668,944.9328669832
mig,0.6,298.480483104657,127.96894712309793,926.9238650891019
mps-uncap,0.7,346.08147180794623,160.49812947391464,1094.1815223307217
mig,0.7,346.08657845202515,163.64106514172036,1112.3759782907564
mps-uncap,0.8,414.8100791287358,180.66383822447003,1262.2444127634758
mig,0.8,381.29091778039873,184.05703900754625,1260.3995560213357
mps-uncap,0.9,441.6130783684472,189.9496729759124,1411.757478430737
mig,0.9,452.08357878548094,204.30069034842833,1412.0266484611484
mps-uncap,1.0,498.275342711237,220.00137240832768,1538.2824931882994
mig,1.0,491.968586168016,219.79526527453095,1555.4242252152521
mps-uncap,1.1,518.0066606394569,251.44452180716084,1348.320344735864
mig,1.1,501.4798031479129,225.54979402208855,1575.9437894771377
mps-uncap,1.2,508.75411081777577,267.1101902816834,1310.749649090586
mig,1.2,502.2012388951844,225.46206443082187,1580.7807391279111
mps-uncap,1.3,506.08265440171414,274.622279827696,1285.4097931127249
mig,1.3,500.47555570864415,225.1918928709717,1573.7637284702782
