mode,load,0_densenet161-32,1_efficientnet_b6-16,2_mobilenet_v2-16
mps-uncap,0.6,104.9962043762207,70.71805000305176,22.939419746398933
mig,0.6,187.84809112548828,200.61359405517578,32.09948539733887
mps-uncap,0.7,151.2453556060791,99.9600887298584,26.23705863952637
mig,0.7,238.62338066101074,332.37743377685547,42.594885826110854
mps-uncap,0.8,194.6002960205078,130.3427457809448,51.86641216278076
mig,0.8,292.13471412658697,423.71513843536377,67.33822822570801
mps-uncap,0.9,251.8221616744995,167.85526275634766,89.34636116027832
mig,0.9,785.550594329834,762.0887279510499,106.61416053771973
mps-uncap,1.0,841.7031764984131,224.9594449996948,3076.6480922698975
mig,1.0,2388.9687061309814,3010.492420196533,633.4760189056396
mps-uncap,1.1,3710.402512550355,625.2991199493408,16864.712929725647
mig,1.1,9052.659392356873,10697.890520095825,10322.882342338562
mps-uncap,1.2,11997.913837432861,2025.0787734985347,24986.176228523254
mig,1.2,16157.126808166506,13918.550276756287,13695.177412033081
mps-uncap,1.3,16278.378343582155,3656.5554857254024,30508.762645721436
mig,1.3,17910.766887664795,19447.62945175171,18202.78182029724
