mode,load,0_densenet161-32,1_efficientnet_b6-16,2_mobilenet_v2-16
mps-uncap,0.6,64.32020664215088,60.1263761520386,19.12881851196289
mig,0.6,66.3010549545288,72.9050064086914,12.647628784179688
mps-uncap,0.7,69.65418815612793,59.66739654541015,18.252313137054443
mig,0.7,66.53409004211426,73.1779670715332,12.624311447143548
mps-uncap,0.8,65.56550979614258,61.13708734512329,20.498962402343736
mig,0.8,66.53928279876709,73.32039833068848,12.630243301391602
mps-uncap,0.9,71.53780937194824,60.965001583099365,19.673814773559567
mig,0.9,66.6626453399658,73.20191860198975,12.631816864013672
mps-uncap,1.0,66.5928840637207,62.76821613311767,21.730413436889645
mig,1.0,66.45774841308594,73.281569480896,12.388355731964111
mps-uncap,1.1,66.08062744140625,61.369857788085945,21.705965995788574
mig,1.1,66.78481340408325,73.4086799621582,12.13613510131836
mps-uncap,1.2,65.95158576965332,61.091461181640625,21.629478931427002
mig,1.2,66.31501197814941,72.81190395355225,11.373367309570309
mps-uncap,1.3,65.98126411437988,61.11435413360596,21.7318058013916
mig,1.3,66.63725852966309,73.31323385238647,12.13831901550293
