mode,load,0_densenet161-32,1_efficientnet_b6-16,2_mobilenet_v2-16
mps-uncap,0.6,42.04916954040527,30.245304107666016,6.8274736404418945
mig,0.6,63.04526329040527,70.02711296081543,9.874820709228516
mps-uncap,0.7,45.47619819641113,35.42685508728027,6.841421127319336
mig,0.7,62.98327445983887,70.19257545471191,9.876012802124023
mps-uncap,0.8,51.77760124206543,48.49720001220703,7.786154747009277
mig,0.8,62.935590744018555,70.14596462249756,9.897470474243164
mps-uncap,0.9,57.32083320617676,52.393555641174316,8.078336715698242
mig,0.9,63.135623931884766,70.51241397857666,9.943962097167969
mps-uncap,1.0,62.19339370727539,57.84296989440918,9.986400604248047
mig,1.0,63.269853591918945,70.74451446533203,9.995460510253906
mps-uncap,1.1,62.95967102050781,58.43806266784668,10.921239852905273
mig,1.1,63.40444087982178,70.7554817199707,10.002374649047852
mps-uncap,1.2,63.31467628479004,58.44306945800781,11.132240295410156
mig,1.2,63.370704650878906,70.78099250793457,10.004520416259766
mps-uncap,1.3,63.34090232849121,58.413028717041016,11.21211051940918
mig,1.3,63.46845626831055,70.75333595275879,9.993791580200195
