mode,load,0_densenet161-32,1_efficientnet_b6-16,2_mobilenet_v2-16
mps-uncap,0.6,127.28250026702881,86.55309677124032,41.497974395751946
mig,0.6,259.6514797210691,285.1439285278319,53.01344394683838
mps-uncap,0.7,194.95512008667012,137.14876174926744,40.597653388977065
mig,0.7,290.3038978576664,534.0376567840577,65.49299478530882
mps-uncap,0.8,290.0592041015625,146.97881698608393,116.02656364440917
mig,0.8,441.9879102706921,709.0213537216184,126.0501289367675
mps-uncap,0.9,528.6977577209473,268.3264970779415,238.84635925292935
mig,0.9,1168.4528827667236,1185.218558311461,152.0022201538086
mps-uncap,1.0,1069.9681282043455,337.2310709953308,3515.798568725586
mig,1.0,2698.607659339904,3404.791250228881,710.5536556243898
mps-uncap,1.1,4047.095973491669,1042.0721340179443,19128.916378021237
mig,1.1,9921.803445816038,11854.545888900757,10935.377366542816
mps-uncap,1.2,12991.819024085999,2539.2834424972534,27676.647517681122
mig,1.2,18003.67455482483,14823.646838665009,15271.910834312437
mps-uncap,1.3,18738.93436908722,4787.920727729797,33719.53992843629
mig,1.3,19657.12793827057,21084.692442417145,19977.60781288147
