mode,load,0_densenet161-32,1_efficientnet_b6-16,2_mobilenet_v2-16
mps-uncap,0.6,67.69847869873047,61.82551383972168,25.43926239013672
mig,0.6,68.53127479553223,79.96010780334473,20.18141746520996
mps-uncap,0.7,74.07784461975098,66.67280197143555,24.595975875854492
mig,0.7,77.53157615661621,79.36596870422363,25.499343872070312
mps-uncap,0.8,68.2363510131836,63.04478645324707,26.567935943603516
mig,0.8,73.42028617858887,79.43511009216309,24.449586868286133
mps-uncap,0.9,73.70710372924805,64.54825401306152,24.930715560913086
mig,0.9,78.79328727722168,76.72405242919922,22.145509719848633
mps-uncap,1.0,69.24176216125488,63.98606300354004,28.28836441040039
mig,1.0,68.68290901184082,79.14400100708008,23.851394653320312
mps-uncap,1.1,70.15681266784668,70.0068473815918,26.351451873779297
mig,1.1,75.39057731628418,77.69250869750977,23.0557918548584
mps-uncap,1.2,74.2502212524414,69.1370964050293,26.549339294433594
mig,1.2,67.69776344299316,74.79262351989746,17.176151275634766
mps-uncap,1.3,71.56991958618164,67.02136993408203,27.597665786743164
mig,1.3,76.2178897857666,78.91416549682617,21.859407424926758
