mode,load,0_densenet161-32,1_efficientnet_b6-16,2_mobilenet_v2-16
mps-uncap,0.6,32.621145248413086,20.483970642089844,4.0283203125
mig,0.6,61.605215072631836,69.21839714050293,9.568929672241211
mps-uncap,0.7,32.62495994567871,20.440101623535156,4.055023193359375
mig,0.7,61.81645393371582,69.29302215576172,9.582996368408203
mps-uncap,0.8,32.65500068664551,20.682811737060547,4.085302352905273
mig,0.8,61.794281005859375,69.27847862243652,9.579896926879883
mps-uncap,0.9,32.96375274658203,20.630836486816406,4.057407379150391
mig,0.9,61.87748908996582,69.45586204528809,9.709358215332031
mps-uncap,1.0,34.55758094787598,31.069040298461914,4.036188125610352
mig,1.0,62.12115287780762,69.38719749450684,9.727239608764648
mps-uncap,1.1,45.523881912231445,26.785612106323242,4.346370697021484
mig,1.1,62.59608268737793,70.26147842407227,9.812593460083008
mps-uncap,1.2,43.07079315185547,32.33647346496582,9.790897369384766
mig,1.2,62.39748001098633,69.47922706604004,9.846210479736328
mps-uncap,1.3,62.842369079589844,54.7177791595459,9.946584701538086
mig,1.3,62.972068786621094,69.85759735107422,9.865045547485352
