mode,load,0_vgg11-32,1_squeezenet1_1-8,2_vgg19-8
mps-uncap,1.0,0.000476837158203125,0.004291534423828125,0.0035762786865234375
mig,1.0,0.00286102294921875,0.006198883056640625,0.000476837158203125
