mode,load,0_squeezenet1_1-4,1_squeezenet1_1-8,2_vgg19-16
mps-uncap,0.8,8.580994606018066,8.648395538330078,12.991523742675781
mps-uncap,0.9,9.21926498413086,9.273600578308105,13.120055198669434
mps-uncap,1.0,9.380674362182617,9.355545043945312,13.286638259887695
mps-uncap,0.5,7.2025299072265625,7.444596290588379,12.058115005493164
mps-uncap,0.6,7.390904426574706,8.18908214569092,12.318181991577148
mps-uncap,0.7,8.201789855957031,8.592319488525389,12.664318084716797
mps-uncap,0.1,3.109264373779297,3.186941146850586,11.219382286071777
mps-uncap,0.2,5.012083053588866,4.622077941894531,11.30380630493164
mps-uncap,0.3,6.010389328002931,6.483459472656251,11.556768417358398
mps-uncap,0.4,6.729483604431152,7.215595245361327,11.815214157104492
