mode,load,0_squeezenet1_1-4,1_squeezenet1_1-8,2_vgg19-16
mps-uncap,0.8,4.0988922119140625,4.678130149841309,12.200474739074707
mps-uncap,0.9,4.595756530761719,6.230354309082031,12.650370597839355
mps-uncap,1.0,6.622076034545898,6.7005157470703125,13.028383255004883
mps-uncap,0.5,2.5246143341064453,2.535700798034668,11.379599571228027
mps-uncap,0.6,2.5594234466552734,2.5687217712402344,11.594295501708984
mps-uncap,0.7,3.348231315612793,4.268527030944824,11.860132217407227
mps-uncap,0.1,2.7080774307250977,2.8133392333984375,10.786771774291992
mps-uncap,0.2,2.7289390563964844,2.6171207427978516,10.785102844238281
mps-uncap,0.3,2.670168876647949,2.682924270629883,11.026382446289062
mps-uncap,0.4,2.6024580001831055,2.7332305908203125,11.215686798095703
