mode,load,0_squeezenet1_1-4,1_squeezenet1_1-8,2_vgg19-16
mps-uncap,0.8,477.4051647540777,848.9814818126442,942.8131290636488
mps-uncap,0.9,543.4654731988579,974.8847005100205,1105.020404557567
mps-uncap,1.0,596.6229640246768,1069.1135073604075,1216.1184477440875
mps-uncap,0.5,300.07155246381177,536.7749964678443,588.9536803214773
mps-uncap,0.6,362.9486400956146,637.9940387403245,684.6688051483993
mps-uncap,0.7,412.51818920959596,749.2439187499699,869.4562430715259
mps-uncap,0.1,63.13631584205866,108.39409105065539,125.56327750202928
mps-uncap,0.2,116.95136149953268,215.77689352192186,245.92467407723817
mps-uncap,0.3,180.34137052550764,315.58220942883975,379.5846832665363
mps-uncap,0.4,242.81804312919274,434.8059205939863,483.2804299778189
