mode,load,0_squeezenet1_1-4,1_squeezenet1_1-8,2_vgg19-16
mps-uncap,0.8,18.819808959960938,17.54772663116455,53.06026935577396
mps-uncap,0.9,32.40256309509277,40.908837318420424,100.14402866363525
mps-uncap,1.0,1228.612565994263,75.39029121398927,1286.5356922149658
mps-uncap,0.5,8.60280990600586,8.640718460083008,25.908184051513672
mps-uncap,0.6,9.22472476959228,11.189889907836914,30.480718612670916
mps-uncap,0.7,13.358092308044439,14.942574501037596,45.47028541564942
mps-uncap,0.1,3.6282777786254883,3.6544799804687504,11.402058601379396
mps-uncap,0.2,5.5316686630249015,5.228948593139649,16.482830047607425
mps-uncap,0.3,7.017540931701661,7.135391235351564,19.11816596984864
mps-uncap,0.4,7.849574089050293,8.054947853088379,21.661925315856934
