mode,load,0_efficientnet_b6-32,1_resnet152-16,2_resnet18-8
mps-uncap,0.8,37.937164306640625,2.0875930786132812,0.7288455963134766
mps-uncap,0.9,70.04809379577637,34.178972244262695,8.317708969116211
mps-uncap,1.0,365.5327558517456,96.53687477111816,37.99915313720703
mps-uncap,0.5,0.05888938903808594,0.05745887756347656,0.04363059997558594
mps-uncap,0.6,0.07033348083496094,0.057220458984375,0.04267692565917969
mps-uncap,0.7,19.957542419433594,0.06222724914550781,0.04601478576660156
mps-uncap,0.1,0.062465667724609375,0.05888938903808594,0.057697296142578125
mps-uncap,0.2,0.060558319091796875,0.05984306335449219,0.049591064453125
mps-uncap,0.3,0.05817413330078125,0.06198883056640625,0.0476837158203125
mps-uncap,0.4,0.06270408630371094,0.06031990051269531,0.04649162292480469
