mode,load,0_densenet161-2,1_efficientnet_b5-4,2_resnet152-16
mps-uncap,0.8,158.92767906188965,87.53995895385742,1013.1022930145264
mps-uncap,0.9,151.92275047302246,983.5385322570801,5126.86562538147
mps-uncap,1.0,6460.726857185364,1070.385980606079,8943.361520767212
mps-uncap,0.5,42.46795177459717,41.54777526855469,53.17506790161136
mps-uncap,0.6,56.69593811035156,62.237596511840835,79.01308536529542
mps-uncap,0.7,86.33279800415039,63.30306529998787,101.14843845367434
mps-uncap,0.1,30.165386199951172,27.884912490844727,30.396080017089854
mps-uncap,0.2,29.680871963500977,28.38301658630371,27.79731750488282
mps-uncap,0.3,32.92503356933594,30.912780761718764,33.602309226989746
mps-uncap,0.4,39.56971168518069,31.15892410278321,41.317081451416016
