mode,load,0_efficientnet_b7-32,1_mobilenet_v3_small-2,2_vgg19-16
mps-uncap,0.8,122.7804183959961,25.93778610229492,22.447633743286133
mps-uncap,0.9,123.71243000030518,27.115049362182614,22.5290584564209
mps-uncap,1.0,130.4910182952881,27.171969413757324,22.466678619384762
mps-uncap,0.5,116.9428825378418,22.5408673286438,21.373410224914544
mps-uncap,0.6,121.96395874023438,21.491394042968732,21.38805389404297
mps-uncap,0.7,125.8378505706787,25.0182843208313,21.662683486938477
mps-uncap,0.1,72.62964248657225,11.493825912475582,18.43594312667846
mps-uncap,0.2,74.58719015121481,16.962633132934506,20.737075805664055
mps-uncap,0.3,97.67677307128906,19.653799533843983,20.6742525100708
mps-uncap,0.4,120.02362728118895,19.921712875366214,20.915498733520504
