mode,load,0_efficientnet_b7-32,1_mobilenet_v3_small-2,2_vgg19-16
mps-uncap,0.8,285.28718948364263,53.56063842773437,63.339900970458984
mps-uncap,0.9,619.374990463257,170.13955116271975,139.1822814941406
mps-uncap,1.0,723.9136695861816,243.23368072509766,156.97126388549805
mps-uncap,0.5,121.19913101196289,15.445947647094727,27.172851562500018
mps-uncap,0.6,143.41363906860352,19.19512748718262,31.5361499786377
mps-uncap,0.7,208.59408378601074,30.437445640563958,44.05198097229003
mps-uncap,0.1,59.91587638854983,7.604265213012694,13.874173164367676
mps-uncap,0.2,67.22903251647949,9.105491638183596,16.422748565673828
mps-uncap,0.3,94.62666511535643,10.439348220825195,20.15972137451172
mps-uncap,0.4,101.5571117401123,11.924505233764652,21.054935455322266
