mode,load,0_densenet201-8,1_efficientnet_b6-2,2_mobilenet_v2-32
mps-uncap,0.8,208.00851163083738,66.72348645289125,3689.151563610422
mps-uncap,0.9,242.8887932201343,73.92208100062024,3930.3726271799455
mps-uncap,1.0,246.32496068906914,78.05731006990828,3928.5274532742287
mps-uncap,0.5,129.2891171691853,39.81385345935542,2221.3280441192373
mps-uncap,0.6,162.9087721787759,50.54605798783801,2676.346461046858
mps-uncap,0.7,183.10300646507724,58.49652938199407,3126.49484522284
mps-uncap,0.1,24.107414365734698,8.504456728687291,438.0252081744953
mps-uncap,0.2,51.40529004039072,17.681549879053108,938.3997876394538
mps-uncap,0.3,76.2440967107678,23.41243020475221,1371.71162260122
mps-uncap,0.4,115.25790255834735,33.25776090189572,1842.20629330995
