mode,load,0_densenet201-8,1_efficientnet_b6-2,2_mobilenet_v2-32
mps-uncap,0.8,30.269861221313477,31.778335571289062,16.20650291442871
mps-uncap,0.9,43.05458068847656,35.60471534729004,17.058372497558594
mps-uncap,1.0,34.98101234436035,29.149293899536133,11.489391326904297
mps-uncap,0.5,34.19303894042969,29.29401397705078,13.162374496459961
mps-uncap,0.6,29.461383819580078,27.950525283813477,13.283967971801758
mps-uncap,0.7,29.862403869628906,28.02133560180664,13.709545135498047
mps-uncap,0.1,47.40142822265625,36.92317008972168,14.439105987548828
mps-uncap,0.2,37.33015060424805,33.73384475708008,14.627695083618164
mps-uncap,0.3,37.37926483154297,32.06062316894531,21.80027961730957
mps-uncap,0.4,28.695106506347656,27.672529220581055,13.239383697509766
