mode,load,0_densenet201-8,1_efficientnet_b6-2,2_mobilenet_v2-32
mps-uncap,0.8,167.27304458618164,250.73623657226562,461.2147808074951
mps-uncap,0.9,870.0137138366699,446.60139083862305,1873.9728927612305
mps-uncap,1.0,4033.519744873047,3503.460168838501,9041.969060897827
mps-uncap,0.5,63.05432319641113,73.62627983093262,47.47962951660156
mps-uncap,0.6,125.86402893066406,120.95022201538086,61.33842468261719
mps-uncap,0.7,112.00284957885742,291.8088436126709,85.9518051147461
mps-uncap,0.1,27.97722816467285,34.84177589416504,14.457941055297852
mps-uncap,0.2,46.547651290893555,31.31890296936035,26.077747344970703
mps-uncap,0.3,60.039520263671875,44.867753982543945,38.79833221435547
mps-uncap,0.4,94.1166877746582,61.85770034790039,35.95924377441406
