mode,load,0_densenet201-4,1_mobilenet_v2-4,2_mobilenet_v3_large-4
mps-uncap,0.8,0.010728836059570312,0.00762939453125,0.008106231689453125
mps-uncap,0.9,0.010013580322265625,0.00762939453125,0.008106231689453125
mps-uncap,1.0,0.013113021850585938,0.008106231689453125,0.009059906005859375
mps-uncap,0.5,0.011920928955078125,0.00762939453125,0.009059906005859375
mps-uncap,0.6,0.010013580322265625,0.0073909759521484375,0.00858306884765625
mps-uncap,0.7,0.011682510375976562,0.0073909759521484375,0.007867813110351562
mps-uncap,0.1,0.012874603271484375,0.010728836059570312,0.011444091796875
mps-uncap,0.2,0.012874603271484375,0.010967254638671875,0.00858306884765625
mps-uncap,0.3,0.011682510375976562,0.008821487426757812,0.010728836059570312
mps-uncap,0.4,0.01049041748046875,0.007867813110351562,0.009059906005859375
