mode,load,0_densenet201-4,1_mobilenet_v2-4,2_mobilenet_v3_large-4
mps-uncap,0.8,252.7292470834344,1325.0728185195528,1039.4721212511029
mps-uncap,0.9,279.22417220918607,1521.06187333628,1163.1252479710654
mps-uncap,1.0,312.3208509502063,1662.0265296931607,1286.906762104351
mps-uncap,0.5,154.31674477086491,843.1948806885035,646.060645752024
mps-uncap,0.6,189.12106763634696,1009.0887803113285,760.0963454553939
mps-uncap,0.7,216.86565131067914,1170.633915144669,867.6419887667987
mps-uncap,0.1,29.66171604171204,172.8556380285271,130.59188725026416
mps-uncap,0.2,63.85077730520669,343.50972906928763,257.16091795524443
mps-uncap,0.3,92.94778533154876,508.4533092063097,384.6872975113082
mps-uncap,0.4,123.2826577529497,677.6593923089918,509.4818039509103
