mode,load,0_densenet201-4,1_mobilenet_v2-4,2_mobilenet_v3_large-4
mps-uncap,0.8,113.23484420776363,22.277364730834957,25.886893272399917
mps-uncap,0.9,196.79954528808585,56.403701305389376,26.912147998809825
mps-uncap,1.0,806.8376255035399,92.70673274993898,62.95731306076047
mps-uncap,0.5,50.52052021026612,13.95036220550537,16.308147907257077
mps-uncap,0.6,57.409803867340116,13.877067565917967,14.741785526275642
mps-uncap,0.7,79.55603837966925,15.690422058105463,17.09141731262205
mps-uncap,0.1,42.15010404586792,12.075448036193846,15.617470741271973
mps-uncap,0.2,43.86755704879759,17.034096717834437,20.0329351425171
mps-uncap,0.3,41.29849433898931,17.046880722045895,19.29962635040283
mps-uncap,0.4,42.747819423675544,15.077538490295403,18.429102897644043
