mode,load,0_resnet18-4,1_squeezenet1_0-32,2_squeezenet1_0-8
mps-uncap,0.8,1.1315345764160156,5.588769912719727,1.7819404602050781
mps-uncap,0.9,1.1484622955322266,5.576848983764648,1.7795562744140625
mps-uncap,1.0,1.1332035064697266,5.616426467895508,1.7774105072021484
mps-uncap,0.5,1.1260509490966797,5.570650100708008,1.7883777618408203
mps-uncap,0.6,1.1267662048339844,5.576610565185547,1.790761947631836
mps-uncap,0.7,1.1279582977294922,5.56492805480957,1.7807483673095703
mps-uncap,0.1,1.1458396911621094,5.571126937866211,1.7826557159423828
mps-uncap,0.2,1.1310577392578125,5.561590194702148,1.7828941345214844
mps-uncap,0.3,1.1610984802246094,5.576848983764648,1.7790794372558594
mps-uncap,0.4,1.1301040649414062,5.565881729125977,1.7805099487304688
