mode,load,0_densenet169-8,1_densenet201-4,2_squeezenet1_0-4
mps-uncap,0.8,0.012159347534179688,0.011920928955078125,0.0073909759521484375
mps-uncap,0.9,0.01049041748046875,0.012636184692382812,0.008106231689453125
mps-uncap,1.0,0.011682510375976562,0.01239776611328125,0.00762939453125
mps-uncap,0.5,0.009775161743164062,0.010251998901367188,0.008344650268554688
mps-uncap,0.6,0.011205673217773438,0.01239776611328125,0.00762939453125
mps-uncap,0.7,0.011682510375976562,0.011444091796875,0.00762939453125
mps-uncap,0.1,0.018358230590820312,0.013113021850585938,0.009775161743164062
mps-uncap,0.2,0.013589859008789062,0.014066696166992188,0.009059906005859375
mps-uncap,0.3,0.012159347534179688,0.012874603271484375,0.00762939453125
mps-uncap,0.4,0.012159347534179688,0.010013580322265625,0.00858306884765625
