mode,load,0_densenet169-8,1_densenet201-4,2_squeezenet1_0-4
mps-uncap,0.8,106.78743124008169,97.35446929931649,14.633600711822513
mps-uncap,0.9,176.14035129547125,177.75080680847168,26.678581237792958
mps-uncap,1.0,342.4526262283329,561.5098476409912,102.09337949752808
mps-uncap,0.5,43.21262359619132,49.16597366333007,8.555583953857418
mps-uncap,0.6,50.29900550842282,55.3134536743164,8.202075958251953
mps-uncap,0.7,57.9575824737549,60.95502138137816,8.384027481079102
mps-uncap,0.1,44.559478759765625,50.40984153747558,4.811565876007081
mps-uncap,0.2,44.66224908828736,49.75922584533692,5.568277835845947
mps-uncap,0.3,42.72459983825685,40.7457685470581,6.81235313415528
mps-uncap,0.4,39.43344593048096,48.06351661682129,8.10026168823241
