mode,load,0_densenet169-8,1_densenet201-4,2_squeezenet1_0-4
mps-uncap,0.8,11.929869651794434,14.756917953491211,1.7023086547851562
mps-uncap,0.9,12.613534927368164,15.849590301513672,1.8057823181152344
mps-uncap,1.0,13.06915283203125,16.674280166625977,1.8669366836547852
mps-uncap,0.5,11.332273483276367,13.63825798034668,1.6932487487792969
mps-uncap,0.6,11.421918869018555,13.67807388305664,1.6536712646484375
mps-uncap,0.7,11.672496795654297,14.305710792541504,1.6169548034667969
mps-uncap,0.1,18.944501876831055,21.146535873413086,2.470850944519043
mps-uncap,0.2,17.04859733581543,20.615100860595703,2.331256866455078
mps-uncap,0.3,13.402462005615234,15.138506889343262,2.3097991943359375
mps-uncap,0.4,11.594057083129883,14.098882675170898,2.2666454315185547
