mode,load,0_densenet169-8,1_densenet201-4,2_squeezenet1_0-4
mps-uncap,0.8,13.268828392028809,16.8032169342041,2.1893978118896484
mps-uncap,0.9,13.327336311340332,17.23775863647461,2.319598197937012
mps-uncap,1.0,13.408875465393066,17.540454864501953,2.4423599243164062
mps-uncap,0.5,13.6167049407959,16.49785041809082,2.466726303100586
mps-uncap,0.6,13.309526443481445,15.632867813110352,2.2977590560913086
mps-uncap,0.7,13.645553588867188,16.3421630859375,2.021217346191406
mps-uncap,0.1,25.64549446105957,28.397560119628906,2.7260780334472656
mps-uncap,0.2,21.472716331481934,22.27110862731934,2.608942985534668
mps-uncap,0.3,18.190622329711914,21.405339241027832,2.6224136352539062
mps-uncap,0.4,17.193031311035156,20.792722702026367,2.58026123046875
