mode,load,0_densenet169-8,1_densenet201-4,2_squeezenet1_0-4
mps-uncap,0.8,21.169304847717285,23.938655853271484,2.787947654724121
mps-uncap,0.9,33.27155113220215,38.52128982543945,4.4231414794921875
mps-uncap,1.0,91.60137176513672,121.98662757873535,16.90208911895752
mps-uncap,0.5,13.364076614379883,15.393257141113281,2.2614002227783203
mps-uncap,0.6,13.661861419677734,16.07370376586914,2.102494239807129
mps-uncap,0.7,16.54338836669922,17.351865768432617,2.103090286254883
mps-uncap,0.1,23.27132225036621,21.396636962890625,2.5632381439208984
mps-uncap,0.2,17.865896224975586,21.133899688720703,2.4945735931396484
mps-uncap,0.3,17.39192008972168,20.089387893676758,2.496004104614258
mps-uncap,0.4,13.780832290649414,15.877962112426758,2.5115013122558594
