mode,load,0_densenet169-8,1_densenet201-4,2_squeezenet1_0-4
mps-uncap,0.8,472.17361525346735,183.12044940226684,1551.772681343224
mps-uncap,0.9,546.8861954075405,209.3208571758472,1762.1414241264763
mps-uncap,1.0,588.0025055957976,228.56957735430709,1950.0202723856758
mps-uncap,0.5,296.9512520198966,115.58705832973094,960.4292274952188
mps-uncap,0.6,351.03364994263313,141.28522380484418,1143.191478536094
mps-uncap,0.7,417.51617204390607,156.04655875955052,1337.0004707964363
mps-uncap,0.1,60.24374268707506,25.162567527874895,200.1450229762395
mps-uncap,0.2,117.62235915986543,45.103575595799995,403.9565811777758
mps-uncap,0.3,187.10230568317866,67.53250967116247,583.7373156476709
mps-uncap,0.4,230.73223101851883,92.90146897993787,772.2753612353431
