mode,load,0_squeezenet1_1-16,1_squeezenet1_1-16,2_vgg13-4
mps-uncap,0.6,12.844133377075199,10.935735702514627,6.2586975097656214
mig,0.6,20.20442485809326,27.897739410400497,50.92657566070555
mps-uncap,0.7,17.78753519058229,11.15157127380368,7.564198970794665
mig,0.7,26.588125228881832,38.28444480895987,75.51460266113295
mps-uncap,0.8,26.865077018737807,16.684789657592773,9.95213985443117
mig,0.8,35.60661792755127,56.554598808288546,99.94621753692564
mps-uncap,0.9,44.50746536254881,19.02062416076659,11.485865116119353
mig,0.9,56.884455680847196,147.05626010894778,240.31188964843778
mps-uncap,1.0,110.66380023956299,39.86852169036864,15.98544597625734
mig,1.0,258.3448934555054,437.398166656494,434.4336366653441
mps-uncap,1.1,5096.751527786255,102.62008666992153,19.38766002655027
mig,1.1,6645.261435508728,7971.3364362716675,9113.005743026733
mps-uncap,1.2,18356.76234960556,106.34907007217404,28.539609909057504
mig,1.2,14307.41235256195,15129.870367050176,14187.72824048996
mps-uncap,1.3,29875.31092166901,222.02056884765625,29.293203353881843
mig,1.3,18161.665816307068,19341.05815887451,19279.395713806152
