mode,load,0_squeezenet1_1-16,1_squeezenet1_1-16,2_vgg13-4
mps-uncap,0.6,16.303167343139656,15.481190681457518,10.881099700927722
mig,0.6,24.587690830230713,34.75604057312016,60.82965135574336
mps-uncap,0.7,21.59513950347903,14.962787628173821,11.921119689941403
mig,0.7,30.776796340942372,44.75224494934081,85.79185724258431
mps-uncap,0.8,30.437743663787842,21.65006637573244,14.78774547576906
mig,0.8,39.81575965881351,62.92669773101804,109.70253229141179
mps-uncap,0.9,48.27779769897459,23.62056732177733,16.20963811874378
mig,0.9,61.04545593261725,154.17922019958496,250.77996253967328
mps-uncap,1.0,114.74069833755493,44.54188346862792,21.302609443664558
mig,1.0,262.56238937377935,443.97583007812466,444.37996864318836
mps-uncap,1.1,5101.387310028077,107.86977767944329,24.676513671874837
mig,1.1,6649.477028846741,7977.589154243469,9122.928233146667
mps-uncap,1.2,18361.01913690567,111.95923089981075,33.62565040588375
mig,1.2,14311.591882705688,15136.201143264774,14197.526865005493
mps-uncap,1.3,29879.64116573334,226.90779209136963,34.65964794158937
mig,1.3,18165.58301925659,19347.078227996826,19289.640369415283
